x,y,lon,lat
909217.4242424242,1502815.9090909092,126.52250682264325,33.51338618045843
899572.8260869565,1472988.043478261,126.42199911727002,33.24352895012641
936425.0,1499650.0,126.81566453077413,33.486798048876395
883041.6666666666,1489722.9166666667,126.24241997961484,33.39277535009312
907452.7777777778,1473091.6666666667,126.50656164804934,33.24516780854592
889895.8333333334,1479987.5,126.3172922864049,33.30570684232246
889384.6153846154,1496930.7692307692,126.30972171270702,33.458446735436596
946048.0769230768,1494280.7692307692,126.91956726493792,33.43890035816069
938106.25,1481406.25,126.83501560272613,33.322352987214245
922807.3529411764,1505904.4117647058,126.66855398892787,33.54230851050691
918225.0,1473900.0,126.62210945891026,33.25332796412408
889020.8333333334,1472337.5,126.30883222802917,33.23662912068126
905250.0,1501425.0,126.47994090786517,33.5004982486432
920235.0,1494345.0,126.64187864040805,33.43786908553292
893646.4285714285,1489500.0,126.356451936097,33.391868147769884
930208.3333333334,1492250.0,126.74932702231901,33.41967030020452
931732.1428571428,1506289.2857142857,126.76464660697118,33.546387764387866
914175.0,1473050.0,126.57871614692866,33.2453474344226
896984.0909090909,1499815.9090909092,126.39115077054153,33.48522299852999
906625.0,1500186.5384615385,126.49487095173886,33.48945045021325
946796.7391304348,1497698.9130434785,126.92741868212067,33.469766943420424
876650.0,1484275.0,126.17445531930703,33.34293378805051
883025.0,1471615.0,126.2445836161059,33.229480856278684
916050.0,1478750.0,126.59831279972485,33.29690241780793
939435.0,1504665.0,126.84772368826226,33.532203268709175
907154.6875,1502526.5625,126.50032941744215,33.510599543378795
890265.0,1484885.0,126.32066212060839,33.34991010952842
894987.5,1474125.0,126.37265596435986,33.253346027765346
902996.875,1500850.0,126.45574996290803,33.49511075070304
923041.6666666666,1476191.6666666667,126.67361904703131,33.27435089516971
893975.0,1478095.0,126.3613236491792,33.2890492741367
880458.3333333334,1487591.6666666667,126.21493181806902,33.37327213972988
899650.0,1493950.0,126.42049760842767,33.4325770278403
925875.0,1498925.0,126.7021708457977,33.47958032952824
932262.5,1495668.75,126.77116214804906,33.45063578410649
886158.3333333334,1476841.6666666667,126.2775486618698,33.276949475017624
904965.0,1498010.0,126.47723515383359,33.46967569122083
893175.0,1498425.0,126.350323011922,33.472306373311255
913175.0,1502975.0,126.56509916936635,33.51514983020551
887208.3333333334,1468991.6666666667,126.28979750482016,33.206268469103584
927775.0,1507400.0,126.72193542670523,33.5561445428677
884975.0,1491791.6666666667,126.26293927291533,33.41163958788612
913325.0,1495750.0,126.56741268976789,33.45000350633562
887413.8888888889,1479669.4444444445,126.29067664506103,33.302582051871056
934550.0,1507375.0,126.7949178221113,33.55635623987047
924225.0,1489525.0,126.68520574994866,33.394687760967095
912393.75,1473175.0,126.55958555676908,33.246331689389685
919475.0,1499000.0,126.63328562656754,33.479794187481545
934075.0,1487975.0,126.79122681166123,33.38135832165504
898619.8275862068,1474218.103448276,126.41163357039126,33.25453302769597
